Age	Total number of children	Annual cost of education per child	Distance from school	Gender	Education Decision	Willingness to Sponsor	Incentive for schooling	Access to government universal basic education	Access to secondary education	Access to tertiary education	Parent Highest Education
11	3	150000	50	1	1	1	1	1	1	1	5
12	2	5,000	1	1	1	1	0	0	1	1	3
30	3	7000	4	0	1	1	1	1	1	1	4
15	2	27,000	1	1	1	1	1	1	1	1	4
18	3	60,000	2		1		1		1		1
	3	4,500	1	1	1	0	1	0	1	1	1
30	3	4,500	1	0	1	1	1	0	1	1	4
5	3	2,000			1	0	1				
	2	3,000	1	1	1	1	1	0	1	1	2
8	2	3,000	1	1	1	1	1	0	1	0	5
	3				1		1				
14	3	2,000	1	1	1	1	0	1	1	1	3
26	4	45,000	53	1	1	1	1	1	1	0	3
3	5	80,000	53	0	1	1	1	1	1	0	4
	5	15000	42	0	1	1	1	1	1	0	3
	4	30,000	1	1	1	1	1	1	1	1	2
	2	12,000	0.9	1	1	1	0	1	1	0	2
20	2	140000	5	1	1	1	0	0	1	1	1
20	2	140000	4	1	1	1	1	0	1	1	4
20	4	75000	45	1	1	1	1	1	1	1	2
30	5	1000	1	1	0	1	0	0	1	1	3
